timestamp,bandwidth_mbps,latency_ms,packet_loss_percent,current_quality
2025-05-06T19:48:26.071638,9.45,51.94,2.2,medium
2025-05-06T19:48:27.720658,9.48,48.28,2.27,medium
2025-05-06T19:48:29.724822,9.85,47.53,2.41,medium
2025-05-06T19:48:31.716789,9.42,47.78,3.64,medium
2025-05-06T19:48:33.714512,9.69,50.17,3.49,medium
2025-05-06T19:48:35.715527,9.82,54.94,2.12,medium
2025-05-06T19:48:37.717406,9.79,57.6,2.03,medium
2025-05-06T19:48:39.727424,9.94,56.5,2.08,medium
2025-05-06T19:48:41.741668,10.11,57.18,0.84,high
2025-05-06T19:48:43.729972,10.4,58.98,0.97,high
2025-05-06T19:48:45.719605,9.91,55.17,0.99,high
2025-05-06T19:48:47.746799,9.8,57.26,0.92,high
2025-05-06T19:48:49.715535,9.6,60.62,0.99,high
2025-05-06T19:48:51.716598,9.61,60.46,1.14,high
2025-05-06T19:48:53.713549,9.2,53.05,1.32,high
2025-05-06T19:48:55.716693,9.25,57.55,1.75,high
2025-05-06T19:48:57.718148,9.18,59.09,1.79,high
2025-05-06T19:48:59.721971,9.3,57.22,1.54,high
2025-05-06T19:49:01.719390,8.92,55.09,2.5,medium
2025-05-06T19:49:03.727461,8.86,56.75,2.38,medium
2025-05-06T19:49:05.716802,9.02,57.02,1.96,medium
2025-05-06T19:49:07.725294,8.77,56.46,1.88,high
2025-05-06T19:49:09.714771,8.73,59.31,2.45,high
2025-05-06T19:49:11.716022,8.84,57.38,1.4,high
2025-05-06T19:49:13.721478,8.98,64.03,1.41,high
2025-05-06T19:49:15.719147,8.77,59.09,1.27,high
2025-05-06T19:49:17.715305,9.23,57.36,1.52,high
2025-05-06T19:49:19.714151,9.14,57.45,1.02,high
2025-05-06T19:49:21.718291,9.94,64.37,1.16,high
2025-05-06T19:49:23.720036,9.84,60.8,1.05,high
2025-05-06T19:49:25.726799,10.27,59.29,1.28,high
2025-05-06T19:49:27.719644,10.57,56.16,1.05,high
2025-05-06T19:49:29.713205,10.64,55.88,1.11,high
2025-05-06T19:49:31.715334,10.3,53.35,2.19,medium
2025-05-06T19:49:33.726605,10.39,53.64,2.26,medium
2025-05-06T19:49:35.714478,10.35,60.8,2.22,medium
2025-05-06T19:49:37.716562,9.74,59.79,2.41,medium
2025-05-06T19:49:39.729829,9.91,53.59,2.39,medium
2025-05-06T19:49:41.921371,10.09,56.94,1.23,high
2025-05-06T19:49:43.936900,9.8,51.94,1.06,high
2025-05-06T19:49:45.911180,9.89,53.9,1.04,high
2025-05-06T19:49:47.910031,9.87,57.67,1.03,high
2025-05-06T19:49:49.939169,10.07,60.03,1.03,high
2025-05-06T19:49:51.909802,9.79,57.82,0.96,high
2025-05-06T19:49:53.908057,9.79,57.49,0.96,high
2025-05-06T19:49:55.925755,9.43,56.04,1.08,high
2025-05-06T19:49:57.926892,9.2,58.63,0.99,high
2025-05-06T19:49:59.915418,8.72,56.17,2.56,medium
