timestamp,previous_quality,new_quality,bandwidth_mbps,latency_ms,packet_loss_percent
2025-05-06T19:25:01.841452,medium,high,10.11,61.91,1.03
2025-05-06T19:25:02.381953,medium,high,9.44,50.87,1.43
2025-05-06T19:25:02.834834,medium,high,9.66,58.6,1.3
2025-05-06T19:25:26.678536,high,medium,9.41,56.77,2.3
2025-05-06T19:25:28.414632,high,medium,9.53,43.41,2.39
2025-05-06T19:25:33.716529,medium,high,9.65,56.73,1.35
2025-05-06T19:25:38.429453,medium,high,8.96,50.31,0.79
2025-05-06T19:25:42.887581,high,medium,9.61,55.78,2.2
2025-05-06T19:25:44.447940,high,medium,8.98,51.09,2.05
2025-05-06T19:25:47.914548,high,medium,9.91,50.19,2.32
2025-05-06T19:25:48.900013,medium,high,10.21,58.2,1.28
2025-05-06T19:25:52.469648,medium,high,9.85,58.09,0.97
2025-05-06T19:26:08.947222,high,medium,9.62,55.92,2.03
2025-05-06T19:26:10.507022,high,medium,8.81,52.16,2.64
2025-05-06T19:26:13.928812,medium,high,9.63,55.94,0.95
2025-05-06T19:26:20.529459,medium,high,9.47,53.28,1.51
2025-05-06T19:26:24.969987,medium,high,10.62,55.81,1.15
2025-05-06T19:26:45.021465,high,medium,9.25,52.23,2.38
2025-05-06T19:26:57.048825,medium,high,9.15,62.79,1.9
2025-05-06T19:26:58.717314,high,medium,8.98,52.64,2.01
2025-05-06T19:27:07.071851,high,medium,8.69,58.31,2.21
2025-05-06T19:27:08.737094,medium,high,9.85,59.53,1.02
2025-05-06T19:27:16.754777,high,medium,9.1,56.9,2.95
2025-05-06T19:27:17.101182,medium,high,9.86,53.97,1.21
2025-05-06T19:27:23.114434,high,medium,9.6,60.39,2.27
2025-05-06T19:27:26.802793,medium,high,8.9,63.35,1.11
2025-05-06T19:27:31.147396,medium,high,9.95,52.87,1.21
2025-05-06T19:28:04.910183,high,medium,10.09,56.38,2.32
2025-05-06T19:28:23.022024,medium,high,9.44,56.37,1.13
2025-05-06T19:28:37.293802,high,medium,9.39,60.75,2.13
2025-05-06T19:28:43.304365,medium,high,9.39,56.8,1.11
2025-05-06T19:28:47.073646,high,medium,10.42,58.23,2.03
2025-05-06T19:28:53.090227,medium,high,9.27,57.79,1.29
2025-05-06T19:28:53.330440,high,medium,9.06,59.4,2.65
2025-05-06T19:29:07.356936,medium,high,10.22,50.62,1.85
2025-05-06T19:29:17.371318,high,medium,9.79,51.57,2.04
2025-05-06T19:29:23.381955,medium,high,10.33,50.7,1.03
2025-05-06T19:29:51.250125,high,medium,10.08,46.89,2.05
2025-05-06T19:29:53.439702,high,medium,9.12,55.18,2.12
2025-05-06T19:29:59.455603,medium,high,9.93,56.86,1.92
2025-05-06T19:30:03.306498,medium,high,9.22,46.94,1.14
2025-05-06T19:30:09.317196,high,medium,8.87,46.91,2.21
2025-05-06T19:30:09.469405,high,medium,9.14,40.95,2.28
2025-05-06T19:30:15.329630,medium,high,8.13,50.01,0.93
2025-05-06T19:30:15.476254,medium,high,9.95,49.51,1.84
2025-05-06T19:30:23.340202,high,medium,8.68,52.0,2.46
2025-05-06T19:30:29.365600,medium,high,9.41,53.98,1.55
2025-05-06T19:30:31.495766,high,medium,9.7,53.5,2.93
2025-05-06T19:30:41.510650,medium,high,9.04,48.96,0.78
2025-05-06T19:30:41.913330,high,medium,8.7,54.36,2.55
2025-05-06T19:30:51.528182,high,medium,10.35,57.23,2.19
2025-05-06T19:30:57.538021,medium,high,9.76,55.82,1.69
2025-05-06T19:31:11.572428,high,medium,10.34,52.78,2.31
2025-05-06T19:31:27.631822,medium,high,9.16,49.61,1.91
2025-05-06T19:31:37.657286,high,medium,9.27,48.85,2.66
2025-05-06T19:31:47.685077,medium,high,10.43,52.95,1.04
2025-05-06T19:31:53.553751,high,medium,10.41,52.31,3.04
2025-05-06T19:31:59.700940,high,medium,10.23,51.98,3.82
2025-05-06T19:32:03.578801,medium,high,9.06,52.91,0.89
2025-05-06T19:32:07.718789,medium,low,9.07,50.5,5.95
2025-05-06T19:32:13.729543,low,medium,9.39,57.59,2.55
2025-05-06T19:32:19.743253,medium,high,9.46,56.54,0.84
2025-05-06T19:32:41.918395,medium,high,9.91,58.03,1.23
2025-05-06T19:32:43.651508,high,medium,9.29,59.06,2.77
2025-05-06T19:32:53.665645,medium,high,9.42,59.39,1.57
2025-05-06T19:33:13.694692,high,medium,10.83,52.0,2.12
