timestamp,previous_quality,new_quality,bandwidth_mbps,latency_ms,packet_loss_percent
2025-05-06T19:48:41.744245,medium,high,10.11,57.18,0.84
2025-05-06T19:49:01.721913,high,medium,8.92,55.09,2.5
2025-05-06T19:49:07.727355,medium,high,8.77,56.46,1.88
2025-05-06T19:49:31.716845,high,medium,10.3,53.35,2.19
2025-05-06T19:49:41.922371,medium,high,10.09,56.94,1.23
2025-05-06T19:49:59.915418,high,medium,8.72,56.17,2.56
2025-05-06T19:50:15.935735,medium,high,10.37,46.59,1.48
2025-05-06T19:52:03.726568,high,medium,9.72,56.16,2.13
2025-05-06T19:52:13.715383,medium,high,9.75,60.62,1.02
2025-05-06T19:52:59.716635,high,medium,8.87,60.1,2.39
2025-05-06T19:53:13.720535,medium,low,9.51,58.99,5.62
2025-05-06T19:53:20.081927,low,medium,9.64,62.19,2.44
2025-05-06T19:53:35.741042,medium,high,10.5,58.97,1.1
2025-05-06T19:53:43.717586,high,medium,9.69,53.18,2.04
2025-05-06T19:53:49.720638,medium,high,10.14,52.19,1.76
2025-05-06T19:54:11.731082,high,medium,10.67,60.22,2.12
2025-05-06T19:54:27.718793,medium,high,9.53,55.98,1.48
2025-05-06T19:55:23.721797,high,medium,10.02,56.63,2.44
2025-05-06T19:55:33.723929,medium,high,8.01,56.39,1.18
2025-05-06T19:56:01.714711,high,medium,8.26,55.64,2.29
2025-05-06T19:56:11.737351,medium,high,10.23,59.52,1.69
2025-05-06T19:56:21.718381,high,medium,10.07,57.82,2.17
2025-05-06T19:56:53.743856,medium,high,8.99,55.49,1.29
