timestamp,bandwidth_mbps,latency_ms,packet_loss_percent,current_quality
2025-05-04T14:05:16.742707,8.45,78.39,6.1,medium
2025-05-04T14:05:18.315969,10.92,52.75,0.07,medium
2025-05-04T14:05:18.755357,10.2,49.41,5.95,medium
2025-05-04T14:05:20.329638,10.24,52.74,1.83,medium
2025-05-04T14:05:20.759810,10.48,45.93,5.09,medium
2025-05-04T14:05:22.331573,10.33,56.19,1.79,high
2025-05-04T14:05:22.767766,10.49,46.84,3.47,medium
2025-05-04T14:05:24.333791,10.19,57.11,1.48,high
2025-05-04T14:05:24.779958,10.55,46.61,2.85,medium
2025-05-04T14:05:26.335464,9.56,54.75,1.46,high
2025-05-04T14:05:26.794117,10.37,49.08,2.41,medium
2025-05-04T14:05:28.342532,9.57,57.97,2.51,medium
2025-05-04T14:05:28.802599,10.07,48.04,1.01,high
2025-05-04T14:05:30.344230,9.79,58.57,2.3,medium
2025-05-04T14:05:30.813432,10.08,51.16,0.83,high
2025-05-04T14:05:32.346537,9.81,60.11,1.79,medium
2025-05-04T14:05:32.829833,9.7,49.48,0.96,high
2025-05-04T14:05:34.350332,9.9,58.76,1.85,high
2025-05-04T14:05:34.834433,9.35,51.47,1.99,high
2025-05-04T14:05:36.355492,9.95,58.98,1.81,high
2025-05-04T14:05:36.850472,9.21,51.65,1.93,high
2025-05-04T14:05:38.371316,9.68,58.56,2.21,high
2025-05-04T14:05:38.857287,9.28,50.78,1.91,high
2025-05-04T14:05:40.381143,9.53,57.1,2.23,medium
2025-05-04T14:05:40.863249,8.66,55.59,1.88,high
2025-05-04T14:05:42.383139,9.31,50.15,2.24,medium
2025-05-04T14:05:42.869644,9.04,58.75,1.88,high
2025-05-04T14:05:44.388419,9.45,49.48,2.29,medium
2025-05-04T14:05:44.872846,9.37,56.36,1.83,high
2025-05-04T14:05:46.395831,9.45,50.29,2.35,medium
2025-05-04T14:05:46.887311,9.81,55.8,1.83,high
2025-05-04T14:05:48.404220,9.51,47.09,1.02,high
2025-05-04T14:05:48.894562,10.32,54.99,1.83,high
2025-05-04T14:05:50.416976,9.34,50.19,0.9,high
2025-05-04T14:05:50.908223,9.95,52.48,1.98,high
2025-05-04T14:05:52.431082,9.37,52.75,1.11,high
2025-05-04T14:05:52.913518,9.92,51.72,2.13,medium
2025-05-04T14:05:54.434810,8.7,52.26,1.07,high
2025-05-04T14:05:54.918882,9.83,55.79,1.83,medium
2025-05-04T14:05:56.437890,9.25,52.96,0.92,high
2025-05-04T14:05:56.920383,9.69,55.07,1.94,medium
2025-05-04T14:05:58.445802,9.22,48.92,0.94,high
2025-05-04T14:05:58.925237,9.13,57.65,1.96,high
2025-05-04T14:06:00.450956,9.47,45.39,1.05,high
2025-05-04T14:06:00.936709,9.96,53.93,1.84,high
2025-05-04T14:06:02.452487,9.47,46.61,0.84,high
2025-05-04T14:06:02.945505,9.9,57.44,1.89,high
2025-05-04T14:06:04.466081,9.69,48.51,0.97,high
2025-05-04T14:06:04.959943,9.44,59.06,1.28,high
2025-05-04T14:06:06.470712,9.63,45.5,0.92,high
2025-05-04T14:06:06.966876,8.92,62.28,1.14,high
2025-05-04T14:06:08.473270,9.45,51.17,0.98,high
2025-05-04T14:06:08.969700,9.25,59.44,1.16,high
2025-05-04T14:06:10.474898,9.27,52.98,0.94,high
2025-05-04T14:06:10.975517,9.37,61.66,1.19,high
2025-05-04T14:06:12.490828,9.52,53.31,0.91,high
2025-05-04T14:06:12.980747,9.08,60.9,0.92,high
2025-05-04T14:06:14.494744,9.58,52.6,1.49,high
2025-05-04T14:06:14.985820,9.35,53.06,0.91,high
2025-05-04T14:06:16.501159,9.6,55.39,2.86,medium
2025-05-04T14:06:16.991956,9.13,53.31,2.05,medium
2025-05-04T14:06:18.515356,9.46,54.82,2.68,medium
2025-05-04T14:06:19.005672,8.88,56.79,2.03,medium
2025-05-04T14:06:20.520219,9.04,54.83,2.57,medium
2025-05-04T14:06:21.019875,8.38,58.74,3.39,medium
2025-05-04T14:06:22.533284,9.12,52.66,2.57,medium
2025-05-04T14:06:23.025478,8.73,58.38,3.46,medium
2025-05-04T14:06:24.535638,9.52,53.52,1.84,high
2025-05-04T14:06:25.028684,8.87,67.03,3.38,medium
2025-05-04T14:06:26.549264,9.71,56.52,0.57,high
2025-05-04T14:06:27.039311,9.27,67.23,2.33,medium
2025-05-04T14:06:28.551814,9.94,57.95,0.74,high
2025-05-04T14:06:29.041720,9.44,66.27,2.11,medium
2025-05-04T14:06:30.556754,10.27,60.1,0.77,high
2025-05-04T14:06:31.046627,9.88,65.64,0.78,high
2025-05-04T14:06:32.558209,9.86,62.12,0.92,high
2025-05-04T14:06:33.059874,9.7,62.12,0.84,high
2025-05-04T14:06:34.562700,9.62,63.38,0.98,high
2025-05-04T14:06:35.076290,9.75,58.44,0.73,high
2025-05-04T14:06:36.568775,9.18,58.98,2.31,medium
2025-05-04T14:06:37.087345,9.84,53.1,0.84,high
2025-05-04T14:06:38.577277,9.23,59.17,2.44,medium
2025-05-04T14:06:39.091479,9.91,54.02,1.06,high
2025-05-04T14:06:40.590639,9.42,60.36,2.41,medium
2025-05-04T14:06:41.114736,9.84,55.18,1.01,high
2025-05-04T14:06:42.592225,9.54,62.79,2.32,medium
2025-05-04T14:06:43.122839,9.91,60.63,0.99,high
2025-05-04T14:06:44.596666,9.79,61.27,3.05,medium
2025-05-04T14:06:45.125116,9.87,58.94,1.08,high
2025-05-04T14:06:46.604255,10.08,64.69,1.62,high
2025-05-04T14:06:47.130278,10.01,64.63,0.92,high
2025-05-04T14:06:48.614604,10.02,64.24,1.49,high
2025-05-04T14:06:49.136006,9.8,65.31,2.35,medium
2025-05-04T14:06:50.621593,9.42,61.01,1.53,high
2025-05-04T14:06:51.142202,9.69,62.82,2.38,medium
