timestamp,bandwidth_mbps,latency_ms,packet_loss_percent,current_quality
2025-05-06T19:57:29.027421,8.72,46.52,0.32,medium
2025-05-06T19:57:29.723641,8.72,46.52,0.32,medium
2025-05-06T19:57:31.716602,10.57,57.52,0.99,medium
2025-05-06T19:57:33.714549,9.98,58.87,1.05,medium
2025-05-06T19:57:35.719239,10.32,54.02,0.95,high
2025-05-06T19:57:38.463170,10.52,53.73,0.9,high
2025-05-06T19:57:39.789473,10.65,52.77,1.06,high
2025-05-06T19:57:41.717340,10.52,48.12,1.65,high
2025-05-06T19:57:43.714292,10.12,48.77,1.58,high
2025-05-06T19:57:45.716505,9.39,51.38,2.86,medium
2025-05-06T19:57:47.725084,9.1,49.66,2.88,medium
2025-05-06T19:57:49.712346,8.96,53.39,2.9,medium
2025-05-06T19:57:51.735786,8.75,55.01,2.22,medium
2025-05-06T19:57:53.716406,9.46,53.11,2.15,medium
2025-05-06T19:57:55.725258,9.99,52.29,0.86,high
2025-05-06T19:57:57.720462,9.4,51.53,0.81,high
2025-05-06T19:57:59.719075,9.76,53.83,0.74,high
2025-05-06T19:58:01.721948,10.0,56.06,0.86,high
2025-05-06T19:58:03.712833,9.9,56.98,1.12,high
2025-05-06T19:58:05.718228,9.51,59.04,1.15,high
2025-05-06T19:58:07.731982,10.12,58.41,1.34,high
2025-05-06T19:58:09.719601,10.01,56.05,1.4,high
2025-05-06T19:58:11.715554,9.57,55.67,1.32,high
2025-05-06T19:58:13.715470,9.61,49.95,1.1,high
2025-05-06T19:58:15.718597,9.92,46.53,1.11,high
2025-05-06T19:58:17.717617,9.69,49.78,0.89,high
2025-05-06T19:58:19.714176,9.58,51.46,0.85,high
2025-05-06T19:58:21.719448,9.41,50.58,0.78,high
2025-05-06T19:58:23.715278,9.42,53.63,0.68,high
2025-05-06T19:58:25.719309,9.22,60.3,0.66,high
2025-05-06T19:58:27.715300,8.69,56.05,0.81,high
2025-05-06T19:58:29.732626,8.81,49.88,0.94,high
2025-05-06T19:58:31.715620,8.96,52.72,1.05,high
2025-05-06T19:58:33.722217,9.08,51.89,1.32,high
2025-05-06T19:58:35.718698,9.16,48.09,1.3,high
2025-05-06T19:58:37.720378,9.94,51.39,1.16,high
2025-05-06T19:58:39.714610,9.66,54.43,1.05,high
2025-05-06T19:58:41.720733,10.08,53.02,1.08,high
2025-05-06T19:58:43.713507,9.95,57.68,0.93,high
2025-05-06T19:58:45.739978,9.6,56.65,1.07,high
2025-05-06T19:58:47.720795,9.78,57.62,1.11,high
2025-05-06T19:58:49.725603,10.01,60.07,1.09,high
2025-05-06T19:58:51.719343,10.04,63.51,0.89,high
2025-05-06T19:58:53.720836,9.92,63.76,0.83,high
2025-05-06T19:58:55.735173,10.63,61.74,0.76,high
2025-05-06T19:58:57.713363,10.46,56.45,0.68,high
2025-05-06T19:58:59.728339,10.39,58.12,0.67,high
2025-05-06T19:59:01.741276,9.72,52.5,0.76,high
2025-05-06T19:59:03.727269,9.51,48.15,0.83,high
2025-05-06T19:59:05.715812,9.37,48.54,0.95,high
2025-05-06T19:59:07.723623,8.75,48.63,1.2,high
2025-05-06T19:59:09.717268,8.6,46.14,1.22,high
2025-05-06T19:59:11.720710,9.05,47.57,1.25,high
2025-05-06T19:59:13.735381,9.52,46.83,1.3,high
2025-05-06T19:59:14.721791,9.32,46.38,1.26,high
2025-05-06T19:59:16.784456,8.91,50.67,1.27,high
2025-05-06T19:59:18.769097,9.5,49.4,1.18,high
2025-05-06T19:59:19.935414,9.66,51.92,1.1,high
2025-05-06T19:59:20.828782,9.51,56.01,1.11,high
2025-05-06T19:59:21.424304,9.67,53.9,1.06,high
2025-05-06T19:59:22.279870,9.35,52.77,1.02,high
2025-05-06T19:59:22.717142,9.35,52.77,1.02,high
2025-05-06T19:59:34.272607,9.73,57.71,0.94,high
2025-05-06T19:59:34.718083,9.73,57.71,0.94,high
2025-05-06T19:59:36.734359,9.65,59.31,1.14,high
2025-05-06T19:59:38.725990,9.34,62.14,1.14,high
2025-05-06T19:59:40.721615,9.49,61.64,1.65,high
2025-05-06T19:59:42.740472,9.66,62.18,1.57,high
2025-05-06T19:59:44.769676,9.33,62.09,1.46,high
2025-05-06T19:59:46.770633,9.52,62.07,1.47,high
2025-05-06T19:59:48.717338,9.52,60.85,1.37,high
2025-05-06T19:59:50.763580,9.63,62.91,0.72,high
2025-05-06T19:59:52.746468,9.63,67.06,0.8,high
2025-05-06T19:59:54.723097,9.94,63.96,0.97,high
2025-05-06T19:59:56.727527,10.17,62.78,0.85,high
2025-05-06T19:59:58.722573,10.08,60.75,0.81,high
2025-05-06T20:00:00.719333,9.81,57.92,2.41,medium
2025-05-06T20:00:03.408023,9.0,52.23,3.43,medium
2025-05-06T20:00:04.731066,8.89,55.07,3.42,medium
2025-05-06T20:00:06.718335,8.29,55.89,3.46,medium
2025-05-06T20:00:08.820843,8.5,55.17,3.64,medium
2025-05-06T20:00:10.815178,8.65,55.92,2.18,medium
2025-05-06T20:00:13.497136,9.52,54.98,2.41,medium
2025-05-06T20:00:14.727848,9.72,54.59,2.45,medium
2025-05-06T20:00:16.767835,10.12,54.05,2.28,medium
2025-05-06T20:00:18.948750,9.3,55.31,2.31,medium
2025-05-06T20:00:20.912431,9.31,50.59,3.46,medium
2025-05-06T20:00:22.835592,9.39,52.95,2.26,medium
2025-05-06T20:00:24.988798,9.43,48.46,2.02,medium
2025-05-06T20:00:26.720915,9.64,46.15,2.25,medium
2025-05-06T20:00:28.956942,10.36,49.01,1.98,high
2025-05-06T20:00:30.733530,9.57,53.85,0.65,high
2025-05-06T20:00:32.724307,9.76,53.48,0.69,high
2025-05-06T20:00:34.727017,9.72,60.32,0.91,high
2025-05-06T20:00:36.728469,9.74,62.43,0.76,high
2025-05-06T20:00:38.735464,9.04,61.48,0.98,high
2025-05-06T20:00:40.721609,9.4,61.76,1.15,high
2025-05-06T20:00:42.723260,9.04,63.09,1.22,high
2025-05-06T20:00:44.720737,9.01,59.77,2.38,medium
2025-05-06T20:00:46.801601,8.78,57.17,2.46,medium
2025-05-06T20:00:49.783252,9.59,54.38,2.26,medium
2025-05-06T20:00:57.276184,9.07,52.16,3.41,medium
2025-05-06T20:01:02.619284,9.58,52.05,3.06,medium
2025-05-06T20:01:05.233406,9.53,49.78,2.41,medium
2025-05-06T20:01:08.713126,9.72,48.56,1.07,high
2025-05-06T20:01:10.722310,8.75,51.97,1.19,high
2025-05-06T20:01:12.718564,9.06,51.75,1.38,high
2025-05-06T20:01:14.730960,9.01,49.71,1.38,high
2025-05-06T20:01:16.728191,9.22,49.61,1.75,high
2025-05-06T20:01:18.727292,9.29,51.9,1.7,high
2025-05-06T20:01:20.730995,10.36,51.47,2.18,medium
2025-05-06T20:01:23.084135,10.15,53.2,1.99,medium
2025-05-06T20:01:28.524270,10.29,58.55,1.78,high
2025-05-06T20:01:28.771390,10.29,58.55,1.78,high
