timestamp,previous_quality,new_quality,bandwidth_mbps,latency_ms,packet_loss_percent
2025-05-04T14:22:32.499806,medium,high,9.95,55.55,0.69
2025-05-04T14:22:32.924462,medium,high,8.97,64.14,1.35
2025-05-04T14:22:40.948329,high,medium,9.68,52.3,2.83
2025-05-04T14:22:44.549184,high,medium,9.76,58.67,3.4
2025-05-04T14:22:54.574421,medium,high,8.68,60.35,1.93
2025-05-04T14:22:59.009068,medium,high,9.71,55.25,1.13
2025-05-04T14:23:15.049956,high,medium,10.16,56.79,2.09
2025-05-04T14:23:25.075960,medium,high,8.37,58.84,1.44
2025-05-04T14:23:41.122183,high,medium,10.21,59.26,2.96
2025-05-04T14:23:51.163825,medium,high,9.77,61.18,2.0
2025-05-04T14:23:56.797254,high,medium,9.37,56.15,2.03
2025-05-04T14:24:02.831666,medium,high,9.87,56.82,1.08
2025-05-04T14:24:17.292138,high,medium,9.55,49.34,2.05
2025-05-04T14:24:25.321273,medium,high,8.21,57.54,1.52
2025-05-04T14:24:30.934157,high,medium,10.35,62.19,2.47
2025-05-04T14:24:31.343655,high,medium,8.01,57.22,2.27
2025-05-04T14:24:41.400057,medium,high,9.2,58.79,1.57
2025-05-04T14:24:44.986217,medium,high,10.35,65.02,0.9
2025-05-04T14:24:51.018875,high,medium,9.75,56.46,3.06
2025-05-04T14:25:01.063009,medium,high,10.23,50.18,1.52
2025-05-04T14:25:13.116557,high,medium,8.98,60.51,2.02
2025-05-04T14:25:13.487223,high,medium,9.1,53.52,2.81
2025-05-04T14:25:19.147687,medium,high,9.81,58.96,1.38
2025-05-04T14:25:23.512723,medium,high,10.01,49.65,1.24
2025-05-04T14:25:42.092034,high,medium,9.96,51.48,2.68
2025-05-04T14:25:57.301705,high,medium,9.72,58.6,2.04
2025-05-04T14:25:59.673439,high,medium,9.39,57.14,2.33
2025-05-04T14:26:05.709133,medium,high,8.76,49.04,1.85
2025-05-04T14:26:09.355442,medium,high,8.93,55.94,1.84
2025-05-04T14:26:27.451398,high,medium,9.53,52.45,2.55
2025-05-04T14:26:37.478303,medium,high,9.58,55.06,1.39
2025-05-04T14:26:43.843001,high,medium,8.19,52.25,2.19
2025-05-04T14:26:49.863818,medium,high,9.01,51.84,1.4
2025-05-04T14:26:57.547262,high,medium,10.12,55.98,2.79
2025-05-04T14:27:19.620876,medium,high,9.51,57.55,0.84
2025-05-04T14:27:31.673625,high,medium,9.83,50.0,2.04
2025-05-04T14:27:39.724901,medium,high,8.74,56.72,1.3
2025-05-04T14:27:47.738774,high,medium,10.17,58.98,2.08
2025-05-04T14:27:50.188069,high,medium,10.21,47.71,2.1
2025-05-04T14:27:56.227254,medium,high,10.07,47.72,1.62
2025-05-04T14:27:57.789175,medium,high,9.3,52.01,1.73
2025-05-04T14:28:02.260187,high,medium,9.07,54.01,2.07
2025-05-04T14:28:03.822753,high,medium,9.6,47.99,3.07
2025-05-04T14:28:13.861395,medium,high,10.21,52.48,0.87
